hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate,is_rv,planet_id
EPIC 220492298,1,1,1,Transit,2021,K2,Published Confirmed,0,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,0.762406,0.00015,-0.00015,0,0.1079,,,,0.99,0.1,-0.1,0,0.08832204,0.00892142,-0.00892142,0,,,,,0.3,,,,,,,,,,,,,,,,,0,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,,5620,31,-31,0,0.89,0.09,-0.09,0,0.901,,,,0.28,0.03,-0.03,0,[Fe/H],4.5,0.08,-0.08,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h07m02.76s,16.7615005,+06d35m19.67s,6.588798,624.512,14.947,-14.947,13.991,0.092,-0.092,12.168,0.026,-0.026,13.7756,0.000365,-0.000365,25-10-2021,2021-08,25-10-2021,0,EPIC 220492298_0.762406
Kepler-53,1,1,3,Transit,2012,Kepler,Published Confirmed,0,<a refstr=STEFFEN_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.428.1077S/abstract target=ref> Steffen et al. 2013 </a>,38.5583038,0.00041,-0.00041,0,0.1011,,,,3.17,,,0,0.283,,,0,36,,,1,0.11326867,,,1,Mass,,,,,,,,,,,,,1,<a refstr=STEFFEN_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.428.1077S/abstract target=ref> Steffen et al. 2013 </a>,,5858,,,0,0.89,,,0,0.98,,,0,,,,,,4.53,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h21m50.83s,290.4617926,+40d33m44.99s,40.5624966,1366.07,65.81,-60.13,15.367,0.058,-0.058,13.807,0.051,-0.051,15.3877,0.000372,-0.000372,22-09-2021,2013-01,22-09-2021,0,Kepler-53_38.5583038
K2-386,1,1,1,Transit,2022,K2,Published Confirmed,0,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,7.473223,0.000374,-0.000312,0,0.1079,,,,2.32,0.071,-0.067,0,0.20697689,0.00633421,-0.00597735,0,,,,,0.3,,,,,,,,,,,,,,,,,0,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,,5749,22,-22,0,0.97,0.023,-0.022,0,0.911,0.088,-0.083,0,0.074,0.02,-0.02,0,[Fe/H],4.424,0.036,-0.036,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h13m12.00s,18.2999964,+07d00m46.91s,7.0130302,428.785,8.18,-7.885,13.241,0.092,-0.092,11.525,0.024,-0.024,12.9931,0.000387,-0.000387,16-03-2022,2022-03,16-03-2022,0,K2-386_7.473223
K2-273,1,1,1,Transit,2018,K2,Published Confirmed,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,11.7195663,1.34E-05,-1.35E-05,0,0.0729,0.0053,-0.0141,0,3.05,0.23,-0.12,0,0.27210324,0.02051926,-0.0107057,0,,,,,0.432,,,,,,,,,,,,,849,7,-29,0,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,,5161,53,-47,0,0.85,0.02,-0.02,0,0.89,0.03,-0.03,0,0.2,0.04,-0.04,0,[Fe/H],4.53,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h39m06.45s,129.7768928,+19d00m36.02s,19.0100046,308.105,2.98,-2.923,13.246,0.08,-0.08,11.3,0.022,-0.022,13.1461,0.000319,-0.000319,20-09-2021,2022-01,20-09-2021,0,K2-273_11.7195663
WASP-162,1,1,1,Transit,2018,SuperWASP-South,Published Confirmed,0,<a refstr=HELLIER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.482.1379H/abstract target=ref>Hellier et al. 2019</a>,9.62468,1.00E-05,-1.00E-05,0,0.0871,0.0013,-0.0013,0,11.209,0.56045,-0.56045,0,1,0.05,-0.05,0,1652.716,63.566,-63.566,0,5.2,0.2,-0.2,0,Mass,0.434,0.005,-0.005,0,,,,,910,20,-20,0,0,<a refstr=HELLIER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.482.1379H/abstract target=ref>Hellier et al. 2019</a>,K0,5300,100,-100,0,1.11,0.05,-0.05,0,0.95,0.04,-0.04,0,0.28,0.13,-0.13,0,,4.33,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h13m10.30s,168.2929079,-17d39m28.01s,-17.6577794,310.841,4.122,-4.017,12.213,0.092,-0.092,10.466,0.021,-0.021,12.0652,0.000396,-0.000396,24-10-2018,2019-01,26-10-2018,0,WASP-162_9.62468
K2-138,1,1,6,Transit,2017,K2,Published Confirmed,0,<a refstr=LOPEZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...631A..90L/abstract target=ref>Lopez et al. 2019</a>,12.75758,0.0005,-0.00048,0,0.10447,0.0007,-0.00088,0,2.904,0.164,-0.111,0,0.25907753,0.0146311,-0.00990276,0,1.63,2.12,-1.18,0,0.00512853,0.00667023,-0.00371268,0,Mass,0.062,0.064,-0.043,0,,,,,,,,,0,<a refstr=LOPEZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...631A..90L/abstract target=ref>Lopez et al. 2019</a>,,5356.3,41.8,-13.1,0,0.863,0.031,-0.018,0,0.935,0.019,-0.023,0,0.14,0.04,-0.04,0,[M/H],4.54,0.02,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h15m47.77s,348.9490311,-10d50m59.06s,-10.8497391,202.585,2.028,-1.989,12.246,0.092,-0.092,10.305,0.021,-0.021,12.0252,0.000364,-0.000364,12-03-2021,2019-11,18-03-2021,0,K2-138_12.75758
Kepler-1687,1,1,1,Transit,2020,Kepler,Published Confirmed,0,<a refstr=ARMSTRONG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5327A/abstract target=ref>Armstrong et al. 2021</a>,5.77954,,,0,0.1011,,,,1.65623882,,,0,0.14775973,,,0,,,,,0.432,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4132,122,-122,0,0.726119,,,0,0.65,,,0,,,,,,4.52897,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h18m58.28s,289.7428363,+50d47m13.43s,50.7870626,417.014,5.407,-5.273,15.928,0.229,-0.229,12.739,0.023,-0.023,15.473,0.000519,-0.000519,08-09-2020,2021-07,03-09-2020,0,Kepler-1687_5.77954
Kepler-1497,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,8.74199772,8.62E-05,-8.62E-05,0,0.1011,,,,1.66,0.29,-0.16,0,0.14809528,0.02587207,-0.01427424,0,,,,,0.432,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5675,159.75,-169,0,0.95,0.157,-0.081,0,0.96,0.071,-0.061,0,0.01,0.134,-0.172,0,[Fe/H],4.47,0.061,-0.129,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h44m47.08s,296.196155,+45d38m03.52s,45.6343124,,,,15.707,0.024,-0.024,13.699,0.042,-0.042,15.3761,0.0011,-0.0011,06-05-2016,2016-05,10-05-2016,0,Kepler-1497_8.74199772
Kepler-1679,1,1,1,Transit,2020,Kepler,Published Confirmed,0,<a refstr=ARMSTRONG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5327A/abstract target=ref>Armstrong et al. 2021</a>,9.75376,,,0,0.1011,,,,2.0692036,,,0,0.18460198,,,0,,,,,0.432,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5501,122,-122,0,0.873196,,,0,0.96,,,0,,,,,,4.53812,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h35m36.14s,293.9005786,+50d25m37.38s,50.4270507,909.28,34.628,-32.219,15.327,0.046,-0.046,13.528,0.045,-0.045,15.1144,0.000448,-0.000448,08-09-2020,2021-07,03-09-2020,0,Kepler-1679_9.75376
K2-130,1,1,1,Transit,2017,K2,Published Confirmed,0,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,2.49412,0.000132,-0.000128,0,0.032,0.001,-0.001,0,1.25,0.2,-0.14,0,0.11151753,0.0178428,-0.01248996,0,,,,,0.432,,,,,0.17,0.220344,-0.135968,0,136.4,45.8,-35.8,0,,,,,0,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,,4356.47,196.73,-172.4,0,0.744261,0.111278,-0.077683,0,0.69563,0.069563,-0.069563,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h21m04.93s,290.2705419,-19d41m27.15s,-19.6908744,118.011,0.519,-0.514,12.676,0.092,-0.092,9.858,0.023,-0.023,12.3253,0.000203,-0.000203,03-10-2017,2017-11,05-10-2017,0,K2-130_2.49412
MOA-2013-BLG-220L,1,1,1,Microlensing,2014,MOA,Published Confirmed,0,<a refstr=VANDOROU_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..121V/abstract target=ref>Vandorou et al. 2020</a>,,,,,3.03,0.27,-0.27,0,,,,,,,,,871,54,-54,0,2.74,0.17,-0.17,0,Mass,,,,,,,,,,,,,0,<a refstr=VANDOROU_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..121V/abstract target=ref>Vandorou et al. 2020</a>,,,,,,0.94,,,,0.88,0.05,-0.05,0,,,,,,,,,,<a refstr=VANDOROU_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..121V/abstract target=ref>Vandorou et al. 2020</a>,18h03m56.5s,270.985417,-29d32m41s,-29.5447222,6720,590,-590,,,,,,,,,,03-12-2020,2020-09,03-12-2020,0,MOA-2013-BLG-220L_nan
