hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate,is_rv,planet_id
TOI-1238,1,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=GONZ_AMP_AACUTE_LEZ__AMP_AACUTE_LVAREZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...658A.138G target=ref>Gonz&aacute;lez-&Aacute;lvarez et al. 2022</a>,3.294736,3.40E-05,-3.60E-05,0,0.037,0.002,-0.002,0,2.11,0.14,-0.14,0,0.18824192,0.01248998,-0.01248998,0,8.32,1.9,-1.88,0,0.02617765,0.00597807,-0.00591514,0,Mass,0.15,,,1,63,6,-5,0,695,105,-105,0,0,<a refstr=GONZ_AMP_AACUTE_LEZ__AMP_AACUTE_LVAREZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...658A.138G target=ref>Gonz&aacute;lez-&Aacute;lvarez et al. 2022</a>,K7/M0,4089,54,-54,0,0.58,0.02,-0.02,0,0.59,0.02,-0.02,0,0.31,0.19,-0.19,0,[Fe/H],4.63,0.06,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h25m31.76s,201.3823387,+68d50m09.84s,68.8360678,70.7145,0.12055,-0.12055,12.796,0.049,-0.049,9.184,0.014,-0.014,12.2219,0.000347,-0.000347,29-07-2025,2022-02,29-07-2025,0,TOI-1238_3.294736
55 Cnc,1,2,7,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,0.7365474,1.30E-06,-1.40E-06,0,0.01544,5.00E-05,-5.00E-05,0,1.875,0.029,-0.029,0,0.1672763,0.00258721,-0.00258721,0,7.99,0.32,-0.33,0,0.02513923,0.00100683,-0.00103829,0,Mass,0.05,0.03,-0.03,0,,,,,,,,,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172,18,-18,0,0.943,0.01,-0.01,0,0.905,0.015,-0.015,0,0.35,0.1,-0.1,0,[Fe/H],4.43,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,05-02-2021,2018-10,11-02-2021,1,55 Cnc_0.7365474
HIP 56998,1,1,2,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=KUNIMOTO_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169...47K/abstract target=ref>Kunimoto et al. 2025</a>,4.46569,0.00029,-0.00032,0,0.046,0.0007,-0.0007,0,0.956,0.061,-0.063,0,0.08528875,0.00544206,-0.00562049,0,,,,,0.3,,,,,,,,,80,9,-8,0,834,23,-23,0,0,<a refstr=KUNIMOTO_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169...47K/abstract target=ref>Kunimoto et al. 2025</a>,,4675,53,-53,0,0.63,0.027,-0.027,0,0.653,0.028,-0.028,0,-0.343,0.059,-0.059,0,[Fe/H],4.654,0.057,-0.057,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h41m01.51s,175.2563039,-44d24m14.93s,-44.4041485,12.7781,0.0114,-0.0114,7.77,0.03,-0.03,5.101,0.016,-0.016,7.38399,0.000281,-0.000281,22-01-2025,2025-01,22-01-2025,0,HIP 56998_4.46569
Kepler-1503,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,96.16987,0.00118,-0.00118,0,0.1011,,,,2.27,0.19,-0.23,0,0.20251584,0.01695066,-0.02051923,0,,,,,0.432,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5069,95.03,-73.98,0,0.74,0.049,-0.071,0,0.77,0.049,-0.066,0,-0.19,0.179,-0.259,0,[Fe/H],4.59,0.046,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h34m54.52s,293.7271604,+42d48m24.16s,42.8067119,1225.57,55.865,-55.865,15.892,0.195,-0.195,13.767,0.046,-0.046,15.7862,0.000574,-0.000574,06-05-2016,2016-05,10-05-2016,0,Kepler-1503_96.16987
HD 217786,1,2,2,Radial Velocity,2011,La Silla Observatory,Published Confirmed,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,1301.36009,1.17486,-0.48567,0,2.446,0.109,-0.119,0,,,,,,,,,4402.559094,402.6885917,-416.6730416,0,13.852,1.267,-1.311,0,Mass,0.311,0.002,-0.003,0,,,,,,,,,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,,,,0.94,,,,1.14,0.159,-0.159,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h03m08.11s,345.7838088,-00d25m49.29s,-0.4303594,55.4847,0.2469,-0.2448,7.78,0.03,-0.03,6.352,0.02,-0.02,7.63573,0.000282,-0.000282,12-06-2023,2022-09,12-06-2023,1,HD 217786_1301.36009
Kepler-379,1,1,2,Transit,2014,Kepler,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,62.784697,0.000661,-0.000661,0,0.326,,,0,2.29,0.43,-0.43,0,0.204,0.038,-0.038,0,,,,,0.432,,,,,,,,,,,,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,6054,100,-100,0,1.306,0.237,-0.237,0,0.95,,,,,,,,,4.273,0.15,-0.15,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h42m48.26s,295.7010981,+38d56m44.96s,38.9458209,731.274,7.264,-7.126,13.475,0.069,-0.069,12.005,0.018,-0.018,13.3686,0.000243,-0.000243,14-05-2014,2014-03,14-05-2014,0,Kepler-379_62.784697
Kepler-182,1,1,2,Transit,2014,Kepler,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,20.684342,9.70E-05,-9.70E-05,0,0.157,,,0,3.43,1.53,-1.53,0,0.306,0.136,-0.136,0,,,,,0.432,,,,,,,,,,,,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,6250,200,-200,0,1.146,0.512,-0.512,0,0.95,,,,,,,,,4.401,0.3,-0.3,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h19m19.23s,289.8301128,+50d35m10.33s,50.5862025,1549.09,50.53,-50.53,14.942,0.126,-0.126,13.518,0.038,-0.038,14.8737,0.000342,-0.000342,14-05-2014,2014-03,14-05-2014,0,Kepler-182_20.684342
HD 152843,1,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=NICHOLSON_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.532.4632N/abstract target=ref>Nicholson et al. 2024</a>,19.502104,7.40E-05,-8.50E-05,0,0.1482,0.0041,-0.0042,0,5.94,0.18,-0.16,0,0.52993222,0.01605855,-0.01427427,0,9.67,1.97,-1.92,0,0.03042522,0.00619831,-0.006041,0,Mass,0.074,0.072,-0.05,0,133.1,11.1,-10.2,0,,,,,0,<a refstr=NICHOLSON_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.532.4632N/abstract target=ref>Nicholson et al. 2024</a>,,6310,100,-100,0,1.43,0.02,-0.02,0,1.15,0.04,-0.04,0,-0.16,0.05,-0.05,0,[Fe/H],4.19,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h55m08.37s,253.7848853,+20d29m29.49s,20.491524,107.898,0.318,-0.316,8.855,0.002,-0.002,7.629,0.02,-0.02,8.76412,0.000237,-0.000237,20-11-2025,2024-08,20-11-2025,0,HD 152843_19.502104
Kepler-255,1,1,3,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,1.045622658,2.67E-06,-2.67E-06,0,0.1011,,,,1.32,0.14,-0.1,0,0.11776251,0.01248996,-0.0089214,0,,,,,0.432,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5431,93.33,-139.79,0,0.86,0.075,-0.057,0,0.9,0.043,-0.054,0,0.02,0.145,-0.181,0,[Fe/H],4.53,0.042,-0.084,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h44m15.42s,296.0642702,+45d58m36.35s,45.9767647,1052.53,31.055,-31.055,15.699,0.172,-0.172,13.689,0.043,-0.043,15.5283,0.000449,-0.000449,06-05-2016,2016-05,10-05-2016,0,Kepler-255_1.045622658
HD 213885,1,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ESPINOZA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.491.2982E/abstract target=ref>Espinoza et al. 2020</a>,1.008035,2.10E-05,-2.00E-05,0,0.02012,0.00015,-0.00012,0,1.745,0.051,-0.052,0,0.15567847,0.00454992,-0.00463913,0,8.83,0.66,-0.65,0,0.02778215,0.00207658,-0.00204512,0,Mass,0,,,0,,,,,2128,13,-14,0,0,<a refstr=ESPINOZA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.491.2982E/abstract target=ref>Espinoza et al. 2020</a>,G,5978,50,-50,0,1.1011,0.008,-0.0075,0,1.068,0.02,-0.018,0,-0.04,0.03,-0.03,0,[Fe/H],4.3827,0.0095,-0.0097,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h35m56.09s,338.9837166,-59d51m53.38s,-59.864829,48.0883,0.0991,-0.0987,7.95,0.03,-0.03,6.419,0.024,-0.024,7.80173,0.000247,-0.000247,02-12-2019,2020-01,05-12-2019,0,HD 213885_1.008035
KMT-2016-BLG-1820L,1,1,1,Microlensing,2018,KMTNet,Published Confirmed,0,<a refstr=JUNG_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..208J/abstract target=ref>Jung et al. 2018</a>,,,,,1.08,0.22,-0.22,0,,,,,,,,,1450,1600,-680,0,4.57,5.03,-2.14,0,Mass,,,,,,,,,,,,,0,<a refstr=JUNG_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..208J/abstract target=ref>Jung et al. 2018</a>,,,,,,0.94,,,,0.039,0.043,-0.018,0,,,,,,,,,,<a refstr=JUNG_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..208J/abstract target=ref>Jung et al. 2018</a>,17h55m03.54s,268.76474,-29d31m00.91s,-29.5169201,6260,1140,-1280,,,,,,,,,,05-12-2019,2018-11,08-11-2018,0,KMT-2016-BLG-1820L_nan
NGTS-15,1,1,1,Transit,2021,Next-Generation Transit Survey (NGTS),Published Confirmed,0,<a refstr=TILBROOK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp..893T/abstract target=ref>Tilbrook et al. 2021</a>,3.27623,1.00E-05,-1.00E-05,0,0.0441,0.0046,-0.0046,0,12.32987877,1.12089807,-1.12089807,0,1.1,0.1,-0.1,0,238.6891337,32.41849751,-27.96889982,0,0.751,0.102,-0.088,0,Mass,0,,,0,425,98,-98,0,1146,47,-47,0,0,<a refstr=TILBROOK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp..893T/abstract target=ref>Tilbrook et al. 2021</a>,G6 V,5600,150,-150,0,0.954,0.082,-0.082,0,0.995,0.025,-0.025,0,0.15,0.1,-0.1,0,[Fe/H],4.4,0.12,-0.13,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h53m25.27s,73.3553101,-32d48m01.25s,-32.8003484,786.485,10.685,-10.408,14.669,0.149,-0.149,12.907,0.036,-0.036,14.4299,0.000341,-0.000341,23-04-2021,2021-03,23-04-2021,0,NGTS-15_3.27623
GJ 687,1,1,2,Radial Velocity,2020,Multiple Observatories,Published Confirmed,0,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..250...29F/abstract target=ref>Feng et al. 2020</a>,727.562,12.198,-12.198,0,1.165,0.023,-0.023,0,,,,,,,,,16,4.1,-4.1,0,0.05034138,0.01289998,-0.01289998,0,Msini,0.4,0.22,-0.22,0,,,,,,,,,0,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..250...29F/abstract target=ref>Feng et al. 2020</a>,,,,,,0.94,,,,0.4,0.02,-0.02,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h36m25.00s,264.1041731,+68d20m01.23s,68.3336741,4.54939,0.00068,-0.00068,9.15,0.1,-0.1,4.548,0.021,-0.021,8.02754,0.000862,-0.000862,08-09-2020,2020-10,03-09-2020,1,GJ 687_727.562
GJ 3998,1,1,3,Radial Velocity,2016,Roque de los Muchachos Observatory,Published Confirmed,0,<a refstr=STEFANOV_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...695A..62S/abstract target=ref>Stefanov et al. 2025</a>,13.727,0.003,-0.004,0,0.09,0.003,-0.003,0,,,,,,,,,6.82,0.78,-0.75,0,0.02145812,0.00245415,-0.00235976,0,Msini,0,,,0,5.4,1.3,-1,0,,,,,0,<a refstr=STEFANOV_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...695A..62S/abstract target=ref>Stefanov et al. 2025</a>,,3726,68,-68,0,0.5,0.05,-0.05,0,0.52,0.05,-0.05,0,-0.13,0.09,-0.09,0,[Fe/H],4.75,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h16m00.49s,259.0020507,+11d03m22.23s,11.0561751,18.1459,0.0165,-0.0165,10.844,0.008,-0.008,6.816,0.016,-0.016,9.98337,0.000669,-0.000669,11-03-2025,2025-03,11-03-2025,1,GJ 3998_13.727
HD 10180,1,1,6,Radial Velocity,2010,La Silla Observatory,Published Confirmed,0,<a refstr=KANE__AMP__GELINO_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...792..111K/abstract target=ref>Kane &amp; Gelino 2014</a>,49.748,0.025,-0.025,0,0.2699,0.0043,-0.0043,0,,,,,,,,,25.585315,1.017056,-1.017056,0,0.0805,0.0032,-0.0032,0,Msini,0.051,0.033,-0.033,0,,,,,,,,,0,<a refstr=KANE__AMP__GELINO_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...792..111K/abstract target=ref>Kane &amp; Gelino 2014</a>,,5911,19,-19,0,1.109,0.036,-0.036,0,1.06,0.05,-0.05,0,0.08,0.01,-0.01,0,[Fe/H],4.39,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h37m53.55s,24.4731133,-60d30m41.36s,-60.5114881,38.9607,0.0387,-0.0386,7.33,0.03,-0.03,5.868,0.018,-0.018,7.17261,0.000183,-0.000183,24-06-2015,2014-09,25-06-2015,1,HD 10180_49.748
HD 136352,1,1,3,Radial Velocity,2019,La Silla Observatory,Published Confirmed,0,<a refstr=DELREZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021NatAs.tmp..106D/abstract target=ref>Delrez et al. 2021</a>,11.57797,8.00E-05,-0.00013,0,0.0964,0.0028,-0.0028,0,1.664,0.043,-0.043,0,0.14845239,0.00383621,-0.00383621,0,4.72,0.42,-0.42,0,0.01485078,0.00132147,-0.00132147,0,Mass,0,,,0,111.6,7.3,-6.8,0,905,14,-14,0,0,<a refstr=DELREZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021NatAs.tmp..106D/abstract target=ref>Delrez et al. 2021</a>,,5664,61,-61,0,1.058,0.019,-0.019,0,0.87,0.04,-0.04,0,-0.24,0.05,-0.05,0,[M/H],4.39,0.11,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h21m45.63s,230.4401147,-48d19m07.74s,-48.3188174,14.682,0.0199,-0.0198,5.65,0.03,-0.03,4.159,0.036,-0.036,5.48495,0.0015675,-0.0015675,09-08-2021,2021-06,09-08-2021,1,HD 136352_11.57797
GJ 367,1,1,3,Radial Velocity,2023,La Silla Observatory,Published Confirmed,0,<a refstr=GOFFO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230709181G/abstract target=ref>Goffo et al. 2023</a>,34.369,0.073,-0.073,0,0.1079,,,,,,,,,,,,6.03,0.49,-0.49,0,0.0189725,0.00154171,-0.00154171,0,Msini,0.14,0.09,-0.09,0,,,,,,,,,0,<a refstr=GOFFO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230709181G/abstract target=ref>Goffo et al. 2023</a>,M1.0 V,3522,70,-70,0,0.458,0.013,-0.013,0,0.455,0.011,-0.011,0,-0.01,0.12,-0.12,0,[Fe/H],4.776,0.026,-0.026,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h44m29.15s,146.121464,-45d46m44.46s,-45.7790165,9.41263,0.002835,-0.002835,10.153,0.044,-0.044,5.78,0.02,-0.02,9.15159,0.00065,-0.00065,07-08-2023,2023-07,07-08-2023,1,GJ 367_34.369
Kepler-170,1,1,2,Transit,2014,Kepler,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,16.665863,5.30E-05,-5.30E-05,0,0.131,,,0,2.86,0.17,-0.17,0,0.255,0.015,-0.015,0,,,,,0.432,,,,,,,,,,,,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5679,57,-57,0,1.035,0.058,-0.058,0,0.95,,,,,,,,,4.445,0.1,-0.1,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h58m05.09s,284.5211975,+41d37m46.76s,41.6296562,738.657,11.054,-10.738,14.344,0.103,-0.103,12.677,0.024,-0.024,14.3469,0.00026,-0.00026,14-05-2014,2014-03,14-05-2014,0,Kepler-170_16.665863
OGLE-2013-BLG-0341L B,1,2,1,Microlensing,2014,OGLE,Published Confirmed,0,<a refstr=GOULD_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Sci...345...46G/abstract target=ref>Gould et al. 2014</a>,,,,,0.702,0.022,-0.022,0,,,,,,,,,1.66,0.18,-0.18,0,0.00522,0.00057,-0.00057,0,Mass,,,,,,,,,,,,,0,<a refstr=GOULD_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Sci...345...46G/abstract target=ref>Gould et al. 2014</a>,,,,,,0.94,,,,0.1127,0.0089,-0.0089,0,,,,,,,,,,<a refstr=GOULD_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Sci...345...46G/abstract target=ref>Gould et al. 2014</a>,17h52m07.49s,268.031208,-29d50m46.0s,-29.8461111,911,70,-70,,,,,,,,,,13-03-2020,2014-07,05-12-2019,0,OGLE-2013-BLG-0341L B_nan
Kepler-102,1,1,5,Transit,2014,Kepler,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,5.286965,1.20E-05,-1.20E-05,0,0.05521,0.00049,-0.00049,0,0.46,0.026,-0.026,0,0.04103852,0.00231957,-0.00231957,0,1.1,,,1,0.00346099,,,1,Mass,0.1,,,1,90,9,-9,0,857,20,-20,0,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,4909,98,-98,0,0.724,0.018,-0.018,0,0.803,0.021,-0.021,0,0.11,0.04,-0.04,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h45m55.79s,281.4824731,+47d12m28.17s,47.2078263,107.796,0.22,-0.219,12.072,0.027,-0.027,9.351,0.011,-0.011,11.4784,0.000248,-0.000248,17-04-2023,2023-04,17-04-2023,0,Kepler-102_5.286965
Kepler-246,1,1,2,Transit,2014,Kepler,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,4.60182,8.00E-06,-8.00E-06,0,0.052,,,0,2.34,1.2,-1.2,0,0.209,0.107,-0.107,0,,,,,0.432,,,,,,,,,,,,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5206,200,-200,0,0.831,0.422,-0.422,0,0.95,,,,,,,,,4.557,0.3,-0.3,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h45m56.02s,296.4834007,+42d39m48.17s,42.6633806,626.078,9.056,-8.806,15.197,0.08,-0.08,13.038,0.031,-0.031,15.0422,0.000552,-0.000552,14-05-2014,2014-03,14-05-2014,0,Kepler-246_4.60182
Kepler-1318,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,213.257663,0.001051,-0.001051,0,0.1011,,,,3.11,0.17,-0.15,0,0.27745562,0.01516638,-0.0133821,0,,,,,0.432,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4598,63.77,-51.73,0,0.7,0.023,-0.032,0,0.73,0.028,-0.037,0,-0.01,0.141,-0.146,0,[Fe/H],4.62,0.019,-0.029,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h21m30.32s,290.3763246,+41d09m02.85s,41.1507928,475.248,5.805,-5.67,15.531,0.16,-0.16,12.767,0.042,-0.042,15.2424,0.000403,-0.000403,06-05-2016,2016-05,10-05-2016,0,Kepler-1318_213.257663
GJ 3323,1,1,2,Radial Velocity,2017,La Silla Observatory,Published Confirmed,0,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>,5.3636,0.0007,-0.0007,0,0.03282,0.00054,-0.00056,0,,,,,,,,,2.02,0.26,-0.25,0,0.0063556,0.00081805,-0.00078658,0,Msini,0.23,0.11,-0.11,0,2.58,,,0,,,,,0,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>,M4,3159,49,-49,0,0.119,0.027,-0.027,0,0.164,,,0,-0.27,0.09,-0.09,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h01m56.85s,75.4868824,-06d56m54.65s,-6.9485133,5.37484,0.00172,-0.00172,12.57,0.2,-0.2,6.736,0.024,-0.024,10.6467,0.000647,-0.000647,29-03-2017,2017-06,30-03-2017,1,GJ 3323_5.3636
